sim_time,agent_id,x,z,state,zone_id
36.09,-35570,-662.128,553.971,Transit,grape
36.09,-35584,-661.653,553.396,Transit,grape
36.09,-35458,-531.438,-4.494,Transit,papaya
36.09,-35472,-530.631,-4.772,Transit,papaya
36.09,-35486,-530.271,-3.895,Transit,papaya
36.09,-35556,-530.167,-4.466,Transit,blueberry
36.09,-35500,-531.225,-5.821,Transit,palmyra
36.09,-35514,-531.693,-5.108,Transit,palmyra
36.09,-35528,-530.168,-5.969,Transit,palmyra
36.09,-35542,-530.450,-5.318,Transit,palmyra
67.29,-35570,-661.774,553.323,Transit,grape
67.29,-35584,-661.229,552.624,Transit,grape
67.29,-35458,-531.641,-4.255,Transit,papaya
67.29,-35472,-531.208,-4.890,Transit,papaya
67.29,-35486,-530.640,-3.851,Transit,papaya
67.29,-35556,-530.524,-4.734,Transit,blueberry
67.29,-35500,-531.285,-5.577,Transit,palmyra
67.29,-35514,-532.249,-4.513,Transit,palmyra
67.29,-35528,-530.242,-5.620,Transit,palmyra
67.29,-35542,-530.733,-5.274,Transit,palmyra
98.49,-35570,-661.358,552.608,Transit,grape
98.49,-35584,-660.759,551.783,Transit,grape
98.49,-35458,-532.226,-4.484,Transit,papaya
98.49,-35472,-531.755,-5.007,Transit,papaya
98.49,-35486,-531.033,-3.921,Transit,papaya
98.49,-35556,-530.980,-4.610,Transit,blueberry
98.49,-35500,-531.514,-5.616,Transit,palmyra
98.49,-35514,-532.689,-3.756,Transit,palmyra
98.49,-35528,-530.287,-5.045,Transit,palmyra
98.49,-35542,-530.944,-5.223,Transit,palmyra
129.69,-35598,-646.199,-291.482,Transit,raspberry
129.69,-35612,-645.727,-290.881,Transit,raspberry
129.69,-35626,-646.305,-290.255,Transit,raspberry
129.69,-35668,-605.494,467.051,Transit,raspberry
129.69,-35570,-660.944,551.886,Transit,grape
129.69,-35584,-660.285,550.939,Transit,grape
129.69,-35458,-532.959,-4.774,Transit,papaya
129.69,-35472,-532.297,-5.150,Transit,papaya
129.69,-35486,-531.427,-3.986,Transit,papaya
129.69,-35640,-530.937,-3.416,Transit,papaya
129.69,-35556,-531.690,-4.636,Transit,blueberry
129.69,-35500,-531.639,-5.357,Transit,palmyra
129.69,-35514,-533.088,-2.978,Transit,palmyra
129.69,-35528,-530.539,-4.345,Transit,palmyra
129.69,-35542,-530.964,-4.891,Transit,palmyra
